Galaxy,Q,lam_kpc,eps,chi2,nu,chi2_red,flag_edge,flag_ok,status,lam_kpc_ll
UGC06923_rotmod,1,19.903067468562657,2.9999999999999973,3.5887879452128364,4,0.8971969863032091,0,1,OK,
UGC06930_rotmod,1,6.10922322828345,1.4628596108310634,2.8901345407444685,8,0.36126681759305856,0,1,OK,
UGC06973_rotmod,1,117.58295223247524,1.3072613084761316e-14,703.0825588511767,7,100.4403655501681,0,1,OK,
UGC06983_rotmod,1,6.615126554797775,2.720206549275349,3.699715796553524,15,0.24664771977023492,0,1,OK,
UGC07089_rotmod,1,24.71611359130314,3.0,1.801251651966732,10,0.1801251651966732,0,1,OK,
UGC07125_rotmod,1,10.445505090231524,1.209998552275903,1.197546984258969,11,0.10886790765990627,0,1,OK,
UGC07151_rotmod,1,2.2513863016835947,0.9830191410726332,0.3814509304758728,9,0.04238343671954142,1,1,EDGE_LOW,
UGC07261_rotmod,1,8.446870051793088,3.0,2.567745513900276,5,0.5135491027800552,0,1,OK,
UGC07323_rotmod,1,28.35977415240517,3.0,0.4909715073020159,8,0.061371438412751986,0,1,OK,
UGC07399_rotmod,1,0.6918802862155689,2.9999999999999654,22.437147454415463,8,2.804643431801933,1,1,EDGE_LOW,
UGC07524_rotmod,1,0.9599827479598372,1.8626721144963063,3.4296899035887045,29,0.11826516908926567,1,1,EDGE_LOW,
UGC07559_rotmod,1,5.4262487618115385,3.0,0.1785922504825618,5,0.03571845009651236,0,1,OK,
UGC07577_rotmod,1,117.88240695219042,1.410137803610999e-18,0.2804287117149481,7,0.04006124453070687,0,1,OK,
UGC07603_rotmod,1,1.695758753552718,3.0,5.234555220262717,10,0.5234555220262717,1,1,EDGE_LOW,
UGC07608_rotmod,1,0.3987182539181197,3.0,7.340574279705922,6,1.2234290466176536,1,1,EDGE_LOW,
UGC07690_rotmod,1,9.406016308161808,3.0,0.2839795302176485,5,0.0567959060435297,0,1,OK,
UGC07866_rotmod,1,0.8614549367756922,1.2073630965504245,0.0907813468893638,5,0.01815626937787276,1,1,EDGE_LOW,
UGC08286_rotmod,1,1.3433225615572069,3.0,5.391568237378147,15,0.35943788249187647,1,1,EDGE_LOW,
UGC08490_rotmod,1,2.229730285614566,3.0,26.334888699705463,28,0.9405317392751951,1,1,EDGE_LOW,
